date,shift,machine_id,planned_minutes,actual_run_minutes,downtime_minutes,ideal_cycle_time_seconds,total_count,good_count,downtime_reason
2024-01-01,A,Line-1,480,420,60,30,1050,1035,breakdown
2024-01-01,B,Line-1,480,440,40,30,1060,1052,setup
2024-01-01,C,Line-1,480,450,30,30,1080,1070,material_shortage
2024-01-02,A,Line-1,480,400,80,30,1000,980,breakdown
2024-01-02,B,Line-1,480,460,20,30,1090,1085,changeover
2024-01-02,C,Line-1,480,455,25,30,1100,1090,minor_stoppage
2024-01-03,A,Line-1,480,470,10,30,1120,1115,none
2024-01-03,B,Line-1,480,465,15,30,1110,1100,operator_break
2024-01-03,C,Line-1,480,458,22,30,1095,1088,material_shortage
2024-01-04,A,Line-1,480,430,50,30,1070,1055,breakdown
2024-01-04,B,Line-1,480,445,35,30,1065,1058,setup
2024-01-04,C,Line-1,480,460,20,30,1100,1092,minor_stoppage
2024-01-05,A,Line-1,480,475,5,30,1130,1125,none
2024-01-05,B,Line-1,480,468,12,30,1115,1108,operator_break
2024-01-05,C,Line-1,480,455,25,30,1090,1082,changeover
2024-01-08,A,Line-1,480,440,40,30,1060,1045,breakdown
2024-01-08,B,Line-1,480,450,30,30,1080,1072,material_shortage
2024-01-08,C,Line-1,480,465,15,30,1110,1105,none
2024-01-09,A,Line-1,480,425,55,30,1050,1030,setup
2024-01-09,B,Line-1,480,445,35,30,1070,1060,changeover
2024-01-09,C,Line-1,480,460,20,30,1100,1095,minor_stoppage
2024-01-10,A,Line-1,480,470,10,30,1120,1115,none
2024-01-10,B,Line-1,480,462,18,30,1105,1098,operator_break
2024-01-10,C,Line-1,480,450,30,30,1080,1070,material_shortage
2024-01-11,A,Line-1,480,435,45,30,1055,1040,breakdown
2024-01-11,B,Line-1,480,455,25,30,1090,1082,setup
2024-01-11,C,Line-1,480,475,5,30,1130,1125,none
2024-01-12,A,Line-1,480,420,60,30,1040,1020,breakdown
2024-01-12,B,Line-1,480,465,15,30,1110,1102,changeover
2024-01-12,C,Line-1,480,458,22,30,1095,1085,minor_stoppage
2024-01-15,A,Line-1,480,460,20,30,1100,1090,none
2024-01-15,B,Line-1,480,470,10,30,1120,1115,operator_break
2024-01-15,C,Line-1,480,455,25,30,1090,1080,material_shortage
2024-01-16,A,Line-1,480,445,35,30,1070,1055,setup
2024-01-16,B,Line-1,480,450,30,30,1080,1072,changeover
2024-01-16,C,Line-1,480,465,15,30,1110,1105,none
2024-01-17,A,Line-1,480,475,5,30,1130,1125,none
2024-01-17,B,Line-1,480,460,20,30,1100,1090,minor_stoppage
2024-01-17,C,Line-1,480,455,25,30,1090,1082,material_shortage
2024-01-18,A,Line-1,480,440,40,30,1060,1045,breakdown
2024-01-18,B,Line-1,480,455,25,30,1090,1080,setup
2024-01-18,C,Line-1,480,468,12,30,1115,1108,none
2024-01-19,A,Line-1,480,430,50,30,1050,1035,changeover
2024-01-19,B,Line-1,480,465,15,30,1110,1102,operator_break
2024-01-19,C,Line-1,480,458,22,30,1095,1088,minor_stoppage
2024-01-22,A,Line-1,480,470,10,30,1120,1115,none
2024-01-22,B,Line-1,480,462,18,30,1105,1098,material_shortage
2024-01-22,C,Line-1,480,450,30,30,1080,1070,setup
2024-01-23,A,Line-1,480,445,35,30,1070,1055,breakdown
2024-01-23,B,Line-1,480,455,25,30,1090,1082,changeover
2024-01-23,C,Line-1,480,475,5,30,1130,1125,none
2024-01-24,A,Line-1,480,425,55,30,1050,1030,material_shortage
2024-01-24,B,Line-1,480,460,20,30,1100,1090,minor_stoppage
2024-01-24,C,Line-1,480,458,22,30,1095,1088,operator_break
2024-01-25,A,Line-1,480,465,15,30,1110,1102,none
2024-01-25,B,Line-1,480,455,25,30,1090,1080,setup
2024-01-25,C,Line-1,480,470,10,30,1120,1115,changeover
2024-01-26,A,Line-1,480,440,40,30,1060,1045,breakdown
2024-01-26,B,Line-1,480,450,30,30,1080,1072,material_shortage
2024-01-26,C,Line-1,480,468,12,30,1115,1108,none
2024-01-29,A,Line-1,480,460,20,30,1100,1090,none
2024-01-29,B,Line-1,480,475,5,30,1130,1125,operator_break
2024-01-29,C,Line-1,480,455,25,30,1090,1082,minor_stoppage
2024-01-30,A,Line-1,480,435,45,30,1055,1040,setup
2024-01-30,B,Line-1,480,465,15,30,1110,1102,changeover
2024-01-30,C,Line-1,480,470,10,30,1120,1115,none
