date,shift,machine_id,planned_minutes,actual_run_minutes,downtime_minutes,ideal_cycle_time_seconds,total_count,good_count,downtime_reason
2024-01-01,B,Line-1,480.0,417.0,63.0,30.28,840,799,setup
2024-01-01,C,Line-2,480.0,429.1,50.9,34.63,751,699,maintenance
2024-01-01,A,Line-3,480.0,409.3,70.7,24.51,1032,954,material_shortage
2024-01-01,B,Line-4,480.0,405.1,74.9,39.36,610,569,material_shortage
2024-01-02,B,Line-1,480.0,429.8,50.2,29.85,868,805,quality_check
2024-01-02,A,Line-2,480.0,412.6,67.4,34.36,700,637,setup
2024-01-02,C,Line-3,480.0,430.9,49.1,24.66,1033,955,maintenance
2024-01-02,C,Line-4,480.0,429.5,50.5,39.47,667,599,material_shortage
2024-01-03,A,Line-1,480.0,417.1,62.9,29.47,876,825,material_shortage
2024-01-03,C,Line-2,480.0,442.2,37.8,35.53,733,706,material_shortage
2024-01-03,A,Line-3,480.0,409.7,70.3,24.76,1001,957,material_shortage
2024-01-03,A,Line-4,480.0,439.4,40.6,39.99,676,644,setup
2024-01-04,A,Line-1,480.0,422.2,57.8,30.6,830,800,changeover
2024-01-04,B,Line-2,480.0,422.6,57.4,35.54,731,684,material_shortage
2024-01-04,C,Line-3,480.0,403.2,76.8,24.76,976,899,changeover
2024-01-04,C,Line-4,480.0,409.7,70.3,40.17,590,563,operator_break
2024-01-05,A,Line-1,480.0,434.5,45.5,29.84,916,858,setup
2024-01-05,A,Line-2,480.0,416.6,63.4,34.42,725,635,maintenance
2024-01-05,C,Line-3,480.0,428.1,51.9,25.37,1004,899,operator_break
2024-01-05,B,Line-4,480.0,413.9,66.1,39.84,634,570,changeover
2024-01-06,A,Line-1,408.0,309.9,98.1,29.68,609,543,maintenance
2024-01-06,C,Line-2,408.0,316.1,91.9,34.76,546,498,operator_break
2024-01-06,B,Line-3,408.0,322.2,85.8,25.28,788,706,breakdown
2024-01-06,A,Line-4,408.0,297.5,110.5,40.58,420,397,maintenance
2024-01-07,A,Line-1,408.0,300.4,107.6,29.63,605,571,setup
2024-01-07,C,Line-2,408.0,300.8,107.2,35.43,527,481,maintenance
2024-01-07,A,Line-3,408.0,325.3,82.7,24.67,790,744,material_shortage
2024-01-07,C,Line-4,408.0,298.7,109.3,39.82,469,452,setup
2024-01-08,C,Line-1,480.0,466.2,13.8,29.59,926,873,quality_check
2024-01-08,A,Line-2,480.0,410.2,69.8,34.37,714,683,operator_break
2024-01-08,A,Line-3,480.0,425.1,54.9,25.18,986,894,changeover
2024-01-08,B,Line-4,480.0,438.2,41.8,39.33,678,630,material_shortage
2024-01-09,A,Line-1,480.0,429.8,50.2,30.21,836,770,maintenance
2024-01-09,A,Line-2,480.0,434.7,45.3,35.09,713,666,operator_break
2024-01-09,C,Line-3,480.0,448.9,31.1,24.66,1128,1074,quality_check
2024-01-09,B,Line-4,480.0,413.4,66.6,40.09,645,583,changeover
2024-01-10,B,Line-1,480.0,427.7,52.3,30.13,870,786,quality_check
2024-01-10,A,Line-2,480.0,415.5,64.5,35.57,669,627,maintenance
2024-01-10,A,Line-3,480.0,445.7,34.3,25.24,1064,979,breakdown
2024-01-10,B,Line-4,480.0,413.7,66.3,39.44,600,550,operator_break
2024-01-11,A,Line-1,480.0,428.5,51.5,30.43,878,807,setup
2024-01-11,A,Line-2,480.0,400.9,79.1,35.52,709,673,changeover
2024-01-11,C,Line-3,480.0,444.0,36.0,24.52,1111,1022,changeover
2024-01-11,B,Line-4,480.0,391.8,88.2,39.63,610,540,changeover
2024-01-12,B,Line-1,480.0,423.8,56.2,30.35,814,719,setup
2024-01-12,C,Line-2,480.0,418.2,61.8,35.38,698,645,quality_check
2024-01-12,B,Line-3,480.0,415.5,64.5,25.08,1042,934,quality_check
2024-01-12,B,Line-4,480.0,410.9,69.1,40.17,614,556,operator_break
2024-01-13,B,Line-1,408.0,317.4,90.6,30.22,657,608,breakdown
2024-01-13,B,Line-2,408.0,298.8,109.2,34.76,506,483,maintenance
2024-01-13,C,Line-3,408.0,285.0,123.0,25.05,661,615,material_shortage
2024-01-13,B,Line-4,408.0,321.2,86.8,39.68,487,432,setup
2024-01-14,C,Line-1,408.0,314.5,93.5,30.21,625,600,power_outage
2024-01-14,A,Line-2,408.0,319.1,88.9,35.02,553,517,changeover
2024-01-14,B,Line-3,408.0,304.9,103.1,24.74,737,714,breakdown
2024-01-14,C,Line-4,408.0,312.9,95.1,40.35,459,427,breakdown
2024-01-15,A,Line-1,480.0,446.3,33.7,29.91,866,831,operator_break
2024-01-15,C,Line-2,480.0,410.3,69.7,34.47,688,629,operator_break
2024-01-15,A,Line-3,480.0,390.6,89.4,25.22,929,891,operator_break
2024-01-15,C,Line-4,480.0,409.1,70.9,39.61,604,559,maintenance
2024-01-16,A,Line-1,480.0,414.3,65.7,29.68,823,778,setup
2024-01-16,B,Line-2,480.0,427.7,52.3,35.29,695,653,operator_break
2024-01-16,B,Line-3,480.0,447.3,32.7,25.45,1004,948,operator_break
2024-01-16,C,Line-4,480.0,440.0,40.0,40.41,676,651,material_shortage
2024-01-17,B,Line-1,480.0,421.8,58.2,29.73,850,793,quality_check
2024-01-17,C,Line-2,480.0,408.3,71.7,35.59,721,657,changeover
2024-01-17,B,Line-3,480.0,418.2,61.8,24.96,959,881,setup
2024-01-17,B,Line-4,480.0,417.4,62.6,39.65,660,622,maintenance
2024-01-18,A,Line-1,480.0,439.3,40.7,30.18,897,847,maintenance
2024-01-18,A,Line-2,480.0,415.2,64.8,34.51,694,648,operator_break
2024-01-18,B,Line-3,480.0,407.5,72.5,25.46,981,915,setup
2024-01-18,C,Line-4,480.0,435.1,44.9,39.7,669,640,material_shortage
2024-01-19,C,Line-1,480.0,427.0,53.0,30.24,830,780,maintenance
2024-01-19,B,Line-2,480.0,404.8,75.2,34.9,686,625,material_shortage
2024-01-19,C,Line-3,480.0,420.5,59.5,25.33,1016,946,maintenance
2024-01-19,B,Line-4,480.0,415.0,65.0,40.06,620,580,maintenance
2024-01-20,B,Line-1,408.0,301.9,106.1,29.94,620,583,maintenance
2024-01-20,C,Line-2,408.0,296.9,111.1,34.55,500,474,setup
2024-01-20,C,Line-3,408.0,300.4,107.6,24.59,749,711,changeover
2024-01-20,A,Line-4,408.0,307.2,100.8,39.92,439,402,material_shortage
2024-01-21,B,Line-1,408.0,306.4,101.6,29.91,629,581,maintenance
2024-01-21,C,Line-2,408.0,309.0,99.0,35.31,515,497,power_outage
2024-01-21,A,Line-3,408.0,312.6,95.4,25.48,737,674,breakdown
2024-01-21,A,Line-4,408.0,313.2,94.8,39.68,483,449,breakdown
2024-01-22,B,Line-1,480.0,402.9,77.1,29.99,836,793,operator_break
2024-01-22,B,Line-2,480.0,436.8,43.2,34.65,783,720,setup
2024-01-22,B,Line-3,480.0,438.1,41.9,25.06,1028,992,setup
